Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
33608,-0.79,1.65,-0.49,-0.39,0.15,-0.95,28.66,43.21,-59.41
33637,-0.79,1.95,-0.37,-0.4,0.15,-0.94,28.51,42.61,-60.02
33665,-0.73,2.01,-0.37,-0.39,0.15,-0.95,28.51,43.81,-59.26
33694,-0.79,2.62,-0.37,-0.39,0.15,-0.94,28.51,43.81,-58.96
33722,-0.79,2.5,-0.3,-0.39,0.15,-0.94,29.11,43.36,-60.32
33757,-0.73,1.22,-0.55,-0.39,0.14,-0.93,27.76,43.36,-59.56
33831,-0.79,2.26,-0.3,-0.4,0.15,-0.95,28.06,42.31,-59.56
33863,-0.79,2.07,-0.37,-0.39,0.14,-0.94,27.61,42.46,-60.17
33891,-0.79,1.77,-0.43,-0.39,0.15,-0.94,26.71,43.36,-58.51
33920,-0.79,2.01,-0.3,-0.38,0.15,-0.95,28.81,42.61,-60.02
33948,-0.79,2.38,-0.37,-0.39,0.15,-0.94,28.81,43.06,-59.26
33977,-0.79,2.32,-0.37,-0.38,0.15,-0.94,29.56,41.56,-58.51
34005,-0.79,1.95,-0.43,-0.39,0.15,-0.94,28.06,42.31,-61.07
34034,-0.85,2.01,-0.37,-0.39,0.14,-0.94,28.51,43.36,-58.96
34065,-0.79,2.32,-0.3,-0.39,0.15,-0.94,29.11,43.06,-61.07
34100,-0.73,2.01,-0.37,-0.38,0.15,-0.94,28.21,43.51,-59.41
34129,-0.79,2.13,-0.37,-0.39,0.14,-0.94,29.11,43.06,-59.26
34158,-0.73,1.83,-0.43,-0.39,0.14,-0.95,27.76,43.06,-59.26
34186,-0.79,1.95,-0.43,-0.39,0.15,-0.94,29.71,42.91,-60.17
34214,-0.73,1.89,-0.37,-0.39,0.16,-0.95,27.91,43.96,-61.52
34243,-0.85,1.89,-0.43,-0.39,0.16,-0.94,28.66,42.91,-60.17
34271,-0.73,2.2,-0.37,-0.38,0.15,-0.94,29.11,43.81,-59.26
34303,-0.73,2.01,-0.37,-0.39,0.15,-0.93,28.96,43.21,-61.52
34332,-0.73,2.07,-0.37,-0.39,0.15,-0.93,29.56,43.81,-60.02
34360,-0.85,2.07,-0.37,-0.39,0.16,-0.94,27.61,44.71,-60.47
34389,-0.79,2.01,-0.37,-0.38,0.15,-0.94,27.16,43.96,-60.77
34417,-0.79,1.95,-0.43,-0.39,0.14,-0.93,27.91,44.26,-60.47
34446,-0.79,2.01,-0.43,-0.39,0.14,-0.93,30.01,43.21,-58.66
34474,-0.85,1.95,-0.43,-0.39,0.14,-0.94,28.06,43.36,-59.26
34506,-0.79,1.95,-0.43,-0.38,0.14,-0.93,29.11,43.81,-60.02
34535,-0.79,1.89,-0.43,-0.39,0.14,-0.94,28.51,42.61,-61.07
34563,-0.79,1.95,-0.43,-0.39,0.15,-0.94,28.51,44.41,-60.32
34592,-0.79,2.01,-0.43,-0.39,0.14,-0.93,28.06,44.41,-59.26
34620,-0.79,1.95,-0.37,-0.39,0.15,-0.95,29.56,42.31,-60.02
34649,-0.79,2.01,-0.43,-0.39,0.15,-0.93,29.86,44.11,-59.26
34677,-0.79,1.95,-0.37,-0.38,0.16,-0.95,28.66,42.16,-60.77
34706,-0.79,2.01,-0.37,-0.39,0.15,-0.93,28.21,43.21,-60.17
34738,-0.79,1.89,-0.43,-0.39,0.15,-0.94,27.31,44.11,-59.56
34766,-0.79,1.95,-0.37,-0.4,0.15,-0.95,27.76,43.81,-59.56
34795,-0.79,1.89,-0.37,-0.39,0.15,-0.93,27.31,43.81,-59.56
34823,-0.73,1.95,-0.43,-0.39,0.15,-0.94,28.06,43.81,-60.02
34852,-0.73,2.01,-0.43,-0.39,0.15,-0.94,28.66,44.26,-59.41
34880,-0.73,2.01,-0.43,-0.39,0.14,-0.93,28.51,43.06,-60.62
34909,-0.79,2.01,-0.43,-0.39,0.14,-0.96,27.91,43.51,-60.17
34940,-0.79,1.95,-0.43,-0.39,0.15,-0.95,28.66,42.91,-60.17
34969,-0.85,1.95,-0.43,-0.38,0.14,-0.94,28.06,43.06,-60.02
34997,-0.79,1.95,-0.43,-0.37,0.14,-0.95,28.51,41.56,-61.07
35026,-0.79,1.95,-0.43,-0.39,0.15,-0.94,28.06,44.86,-59.56
35054,-0.73,2.01,-0.37,-0.39,0.14,-0.93,26.86,43.21,-60.77
35083,-0.79,1.95,-0.37,-0.39,0.16,-0.94,26.71,44.41,-61.07
35111,-0.79,1.89,-0.37,-0.39,0.14,-0.94,28.06,43.81,-59.56
35140,-0.79,1.95,-0.43,-0.4,0.15,-0.94,30.31,42.61,-60.02
35172,-0.85,2.01,-0.43,-0.39,0.15,-0.94,28.81,43.81,-60.62
35200,-0.85,1.95,-0.37,-0.38,0.15,-0.95,28.66,43.51,-59.41
35229,-0.79,1.95,-0.37,-0.39,0.14,-0.94,29.71,43.21,-60.47
35257,-0.73,1.95,-0.37,-0.39,0.15,-0.95,27.91,42.91,-61.52
35286,-0.85,1.89,-0.43,-0.39,0.14,-0.94,28.51,42.31,-60.32
35314,-0.79,1.89,-0.37,-0.39,0.16,-0.93,27.76,44.86,-60.02
35343,-0.79,2.01,-0.43,-0.39,0.15,-0.95,28.81,43.06,-60.62
35371,-0.79,2.01,-0.37,-0.38,0.14,-0.95,27.61,45.01,-61.22
35397,-0.79,1.95,-0.37,-0.39,0.15,-0.94,28.06,44.11,-59.56
35426,-0.79,2.01,-0.43,-0.38,0.15,-0.94,27.61,42.91,-60.77
35454,-0.73,2.01,-0.43,-0.38,0.14,-0.94,28.51,43.36,-59.26
35483,-0.79,1.95,-0.37,-0.39,0.15,-0.95,29.41,44.26,-59.71
35526,-0.79,1.95,-0.43,-0.39,0.15,-0.94,28.21,43.21,-61.22
35554,-0.79,1.95,-0.43,-0.39,0.15,-0.94,27.76,44.41,-59.26
35583,-0.73,1.95,-0.49,-0.39,0.15,-0.93,29.41,42.46,-59.71
35615,-0.73,1.95,-0.37,-0.39,0.14,-0.94,29.11,43.06,-60.02
35643,-0.79,1.95,-0.37,-0.39,0.14,-0.94,28.81,43.81,-61.07
35672,-0.73,1.95,-0.37,-0.39,0.15,-0.96,28.21,43.96,-60.17
35700,-0.79,1.95,-0.37,-0.38,0.15,-0.95,27.01,44.11,-60.62
35729,-0.73,1.95,-0.43,-0.4,0.15,-0.94,28.51,43.81,-60.32
35757,-0.79,2.01,-0.49,-0.39,0.14,-0.94,28.81,42.31,-59.56
35786,-0.79,1.95,-0.37,-0.39,0.14,-0.94,27.31,44.11,-60.32
35814,-0.79,1.95,-0.37,-0.39,0.16,-0.93,28.96,44.26,-60.77
35846,-0.79,1.95,-0.37,-0.38,0.14,-0.95,28.81,43.36,-59.56
35874,-0.79,2.01,-0.43,-0.39,0.15,-0.96,28.06,43.81,-59.56
35903,-0.79,2.07,-0.43,-0.4,0.15,-0.96,28.51,44.41,-59.26
