Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
14136,-0.016,-0.0511,0.0117,-0.17480469,-0.20361328,-0.96923828,621.15,414.65,-200.28
14156,-0.0181,-0.0404,0.0074,-0.18017578,-0.20605469,-0.97412109,605.15,402.38,-205.81
14176,0.0043,-0.0245,0.0021,-0.18212891,-0.19775391,-0.98632812,609.32,405.53,-192.43
14196,0.0011,-0.0245,-0.0021,-0.18310547,-0.20361328,-0.98583984,615.08,422.92,-202.56
14216,-0.0255,-0.0394,-0.0032,-0.17382812,-0.20117188,-0.99023438,606.09,417.98,-191.95
14236,-0.0255,-0.0394,0.0074,-0.17529297,-0.19921875,-0.98046875,610.69,407.07,-187.07
14324,-0.0074,-0.0383,0.0043,-0.18115234,-0.20800781,-0.99121094,627.16,414.38,-204.37
14334,-0.0085,-0.0372,0.0074,-0.17675781,-0.1953125,-0.98046875,624.4,400.82,-200.81
14363,-0.0213,-0.0309,0.0074,-0.17773438,-0.19677734,-0.97802734,618.39,406.35,-203.19
14374,-0.0245,-0.0309,0.0064,-0.17480469,-0.20068359,-0.98144531,617.97,416.47,-189.51
14403,-0.017,-0.0309,0.0096,-0.17626953,-0.19384766,-0.98681641,627.09,410.6,-195.18
14414,-0.016,-0.0341,0.0074,-0.18261719,-0.20410156,-0.97851562,616.61,421.47,-203.97
14443,-0.0053,-0.0415,0.0085,-0.17626953,-0.1953125,-0.98535156,606.37,410.8,-200.2
14454,-0.0085,-0.0383,0.0064,-0.17431641,-0.19775391,-0.98779297,606.55,405.15,-204.4
14483,-0.0085,-0.0287,0.0064,-0.17431641,-0.19775391,-0.97900391,609.21,405.77,-185.76
14494,-0.0202,-0.0341,0.0053,-0.18212891,-0.20214844,-0.98828125,627.04,410.69,-192.51
14523,-0.017,-0.0319,0.0085,-0.1796875,-0.19677734,-0.98535156,610.75,409.58,-193.64
14534,-0.0202,-0.0351,0.0085,-0.18164062,-0.20166016,-0.97314453,622.72,409.16,-199.16
14563,-0.016,-0.0341,0.0053,-0.171875,-0.20117188,-0.97998047,606.4,405.49,-195.06
